Rk,Player,Tm,Age,POS,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
316,Denzel Mims,NYJ,24,WR,11,3,23,8,133,0,5,84,10.5,49,6.1,11.7,0,,2,8.7,0,55.2
317,Patrick Ricard*,BAL,27,FB,13,11,13,8,63,1,3,18,2.3,45,5.6,1.1,1,8,0,0,1,67.1
318,Eric Saubert,DEN,27,TE,17,4,12,8,47,1,2,18,2.3,29,3.6,3.3,2,4,1,8.3,1,67
319,Jeff Smith,NYJ,24,WR,12,3,17,8,113,0,6,98,12.3,15,1.9,11.3,0,,1,5.9,0,69
320,Juwann Winfree,GNB,25,,7,0,13,8,58,0,5,27,3.4,31,3.9,5.8,1,8,1,7.7,0,72
321,Matt Breida,BUF,26,,9,0,9,7,72,2,4,11,1.6,61,8.7,0.9,0,,0,0,0,139.6
322,DJ Chark,JAX,25,WR,4,4,22,7,154,2,7,130,18.6,24,3.4,16.3,0,,1,4.5,1,69.1
323,Phillip Dorsett,3TM,28,,6,0,14,7,110,0,3,83,11.9,27,3.9,15,0,,0,0,0,76.5
324,Luke Farrell,JAX,24,TE,15,4,11,7,56,0,3,28,4,28,4,6.6,0,,1,9.1,1,38.4
325,Noah Gray,KAN,22,TE,16,1,10,7,36,1,2,18,2.6,18,2.6,2.3,0,,1,10,0,108.7
326,Penny Hart,SEA,25,,17,0,12,7,59,0,3,18,2.6,41,5.9,9,0,,1,8.3,0,71.2
327,Godwin Igwebuike,DET,27,RB,17,1,10,7,60,0,4,-4,-0.6,64,9.1,1.5,1,7,2,20,0,85.4
328,Jesse James,CHI,27,TE,14,9,8,7,62,1,3,44,6.3,18,2.6,6.8,0,,0,0,0,138.5
329,Craig Reynolds,DET,25,,5,2,8,7,52,0,3,-4,-0.6,56,8,0,2,3.5,0,0,0,93.7
330,Greg Ward,PHI,26,,17,0,11,7,95,3,4,79,11.3,16,2.3,7.7,0,,2,18.2,0,130.7
331,Jeff Wilson,SFO,26,RB,9,4,8,7,31,0,1,-12,-1.7,43,6.1,-1.3,0,,0,0,0,82.8
332,Eno Benjamin,ARI,22,,9,0,7,6,42,0,4,-4,-0.7,46,7.7,-0.1,2,3,0,0,0,91.7
333,Chris Carson,SEA,27,RB,4,4,6,6,29,0,1,-13,-2.2,42,7,-2.2,2,3,0,0,0,86.8
334,Corey Clement,DAL,27,,17,0,7,6,29,1,1,12,2,17,2.8,1.7,0,,1,14.3,0,123.5
335,Jaelon Darden,TAM,22,,9,0,12,6,43,0,1,19,3.2,24,4,13,0,,0,0,1,24
336,Tom Kennedy,DET,25,,12,0,10,6,54,0,2,37,6.2,17,2.8,7.7,1,6,1,10,1,35
337,Chris Manhertz,JAX,29,TE,17,10,9,6,71,1,4,45,7.5,26,4.3,7.6,0,,0,0,0,127.5
338,Tre' McKitty,LAC,22,TE,11,4,8,6,45,0,3,11,1.8,34,5.7,2.3,0,,0,0,0,88
