Rk,Player,Tm,Age,POS,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
19,Cole Beasley,BUF,32,WR,16,8,112,82,693,1,34,388,4.7,305,3.7,5.6,0,,5,4.5,3,80.7
20,Ja'Marr Chase*,CIN,21,WR,17,17,128,81,1455,13,56,804,9.9,651,8,12.6,8,10.1,11,8.6,6,116.5
21,Darnell Mooney,CHI,24,WR,17,14,140,81,1055,4,49,674,8.3,381,4.7,11.1,5,16.2,9,6.4,8,67.4
22,CeeDee Lamb*,DAL,22,WR,16,13,120,79,1102,6,54,661,8.4,441,5.6,10.3,12,6.6,8,6.7,6,91
23,Dalton Schultz,DAL,25,TE,17,15,104,78,808,8,43,460,5.9,348,4.5,7.1,3,26,4,3.8,1,118.6
24,Christian Kirk,ARI,25,WR,17,11,103,77,982,5,44,754,9.8,228,3,11.6,1,77,6,5.8,2,112.2
25,Terry McLaurin,WAS,26,WR,17,17,130,77,1053,5,47,736,9.6,317,4.1,13.1,4,19.3,5,3.8,4,85.2
26,Deebo Samuel*+,SFO,25,WR,16,15,121,77,1405,6,51,637,8.3,768,10,8.4,13,5.9,10,8.3,4,106.2
27,Mike Williams,LAC,27,WR,16,14,129,76,1146,9,51,731,9.6,415,5.5,11.6,2,38,6,4.7,1,108.2
28,D.K. Metcalf,SEA,24,WR,17,17,129,75,967,12,48,639,8.5,328,4.4,12.7,8,9.4,4,3.1,2,106.3
29,Zach Ertz,2TM,31,TE,17,14,112,74,763,5,40,423,5.7,340,4.6,7.6,2,37,6,5.4,4,85.5
30,Mike Evans*,TAM,28,WR,16,16,114,74,1035,14,56,776,10.5,259,3.5,13,2,37,2,1.8,3,122.6
32,Tee Higgins,CIN,22,WR,14,14,110,74,1091,6,53,801,10.8,290,3.9,12.1,4,18.5,5,4.5,2,110.1
33,Mike Gesicki,MIA,26,TE,17,9,112,73,780,2,39,559,7.7,221,3,9.3,1,73,3,2.7,3,80.2
34,Marvin Jones,JAX,31,WR,17,16,120,73,832,4,42,700,9.6,132,1.8,11.9,0,,2,1.7,3,82.4
35,Tyler Lockett,SEA,29,WR,16,16,107,73,1175,8,41,898,12.3,277,3.8,14.6,2,36.5,0,0,3,117.9
36,George Kittle*,SFO,28,TE,14,14,94,71,910,6,42,460,6.5,450,6.3,8.3,8,8.9,2,2.1,6,100
39,Amari Cooper,DAL,27,WR,15,14,104,68,865,8,45,630,9.3,235,3.5,11,4,17,3,2.9,0,116.9
40,Noah Fant,DEN,24,TE,16,16,90,68,670,4,29,361,5.3,309,4.5,6.1,1,68,2,2.2,0,110.9
41,Kyle Pitts*,ATL,21,TE,17,15,110,68,1026,1,43,713,10.5,313,4.6,10.8,3,22.7,6,5.5,5,76.6
42,Tyler Boyd,CIN,27,WR,16,10,94,67,828,5,37,439,6.6,389,5.8,7.7,2,33.5,0,0,4,98.2
43,Adam Thielen,MIN,31,WR,13,13,95,67,726,10,37,487,7.3,239,3.6,9.5,1,67,1,1.1,2,119
44,Russell Gage,ATL,25,WR,14,9,94,66,770,4,37,516,7.8,254,3.8,9.3,5,13.2,5,5.3,5,86.7
45,DeVonta Smith,PHI,23,WR,17,16,104,64,916,5,43,696,10.9,220,3.4,13.9,2,32,2,1.9,1,102.1
